date,C01_BibioArenaMestas_trafico,C02_CentroPlaya_trafico,C03_CentroLlano_trafico,C04_LaviadaPoligono_trafico,C05_CotoViesques_trafico,C06_LlanoPumarin_trafico,C07_LlanoMontevil_trafico,C08_NuevoGijonBrana_trafico,C09_LaCalzada_trafico,C10_ContruecesGijonSurRoces_trafico,C11_NatahoyoMoredaTremañes_trafico,C12_Ceares_trafico
2023-12-29,2898.0,3807.0,3759.0,4293.5,3059.0,2235.0,2924.0,2897.0,2927.5,2389.0,2809.5,5521.0
2022-06-18,3779.0,2864.5,2772.0,3164.5,1938.0,1546.5,2450.5,1938.5,2288.0,2106.0,1630.5,4295.0
2019-06-28,4845.0,5294.5,3492.0,6454.5,3512.0,2427.0,2662.5,3383.5,3121.0,2650.5,3212.5,6576.0
2019-02-22,4980.0,5377.0,3613.0,5619.0,3670.0,2568.0,2767.0,3588.0,3158.0,2757.5,3192.0,6975.0
2020-03-04,4919.0,4645.0,3702.0,6522.5,4114.0,2395.0,2543.5,3324.5,3024.0,2536.0,3256.0,6452.0
2019-09-01,3007.0,3493.5,2842.0,3262.0,2174.0,1293.0,1668.0,1655.5,1743.0,1501.5,1462.5,3704.0
2019-02-09,3900.0,3829.0,3100.0,4192.0,2900.0,1770.0,1974.0,2498.0,2448.0,2190.0,1970.0,4703.0
2023-10-10,3265.0,2771.5,3191.0,3797.0,2845.0,2039.5,3160.0,2927.0,2967.5,2503.0,3313.0,5682.0
2021-05-29,3273.5,3246.0,2413.0,3083.0,2412.0,1509.5,2238.0,2025.5,2438.0,2041.0,1950.5,4458.5
2020-06-16,2974.0,3047.0,2447.0,3936.5,2724.0,1979.0,2022.0,2649.5,2427.0,1980.5,2497.0,5116.0
2022-12-14,3986.0,3317.5,3492.0,4164.5,3066.0,2225.5,3494.0,2965.5,2889.0,2044.0,3355.0,5961.0
2021-06-16,3860.5,3504.5,2980.0,4325.0,3631.0,2256.0,2562.0,3339.0,3112.0,2518.5,2747.5,5887.5
2020-07-08,3550.0,3674.0,2798.0,4218.0,3020.0,2147.5,2247.5,2772.5,1905.0,2341.5,2887.0,5475.0
2022-11-29,4146.0,3164.0,3135.0,4124.5,2791.0,2134.0,3324.0,2873.5,2855.0,2230.5,3172.5,5767.0
2023-11-24,3014.0,3356.0,2784.0,4160.0,3005.0,2126.5,3182.0,3029.5,3060.0,2460.0,2974.0,5984.5
2020-03-30,1310.5,1051.0,989.0,4630.5,1000.0,591.5,843.0,838.5,1043.0,828.0,941.5,1539.0
2020-06-13,2332.0,2605.5,1901.0,2884.0,1955.0,1342.5,1589.0,1858.5,1899.0,1587.5,1582.0,3599.0
2020-10-08,4521.0,3449.0,3106.0,4543.0,3488.0,2163.0,2441.0,3075.5,2829.0,2540.5,3007.0,6158.0
2019-09-29,3615.0,3726.0,2681.0,46756.5,2202.0,1434.0,1757.5,1606.5,1715.0,1542.0,1468.0,3915.0
2023-07-12,3618.0,3241.0,3425.0,3858.0,2692.0,1921.0,2895.0,2715.5,2851.5,2082.0,3126.5,5822.0
2020-08-09,2785.0,2785.5,2179.0,2929.0,1576.0,1184.0,1349.0,1470.5,1616.0,1229.0,1326.5,3194.0
2019-08-11,3903.0,4623.5,3177.0,3853.0,2097.0,1418.5,1502.0,1725.5,2002.0,1511.5,1569.0,3803.0
2020-02-26,4572.0,4460.5,3781.0,6650.0,4011.0,2358.5,2725.5,3346.5,3125.0,2738.0,3230.0,6661.0
2021-11-23,4044.0,3289.5,3163.0,4156.0,3581.0,3581.0,2621.0,3123.5,3284.0,2590.5,3066.5,6224.5
2019-10-09,4952.0,4652.5,3449.0,14560.5,4036.0,2475.0,2592.5,3255.5,3073.0,2639.0,3103.5,6289.0
2023-12-09,2201.0,2959.0,3077.0,3366.0,2016.0,1524.0,2314.0,1978.0,2074.0,1879.0,1794.0,4104.0
2019-05-02,5010.0,5074.0,3594.0,6050.5,3849.0,2515.5,2670.5,3535.0,3232.0,2743.0,3358.0,6788.0
2023-02-21,1902.0,2031.0,2001.0,2544.0,1360.0,1122.5,1791.0,1585.5,1750.0,1187.0,1646.5,2956.0
2023-03-11,2466.0,2862.5,2617.0,3106.5,2009.0,1548.5,2469.0,1971.0,2219.0,1715.5,1904.0,4296.0
2019-12-25,2833.0,3115.5,3095.0,3793.0,1955.0,1408.0,1658.5,2008.0,1827.0,1705.0,1376.5,3920.0
2021-01-02,2399.0,2723.0,2244.0,3143.0,2223.0,1288.0,1770.5,1939.5,2103.0,2123.0,1485.5,3785.0
2021-12-16,3519.5,3381.0,3361.0,4346.0,3341.0,2220.0,2599.0,3113.0,3442.0,2462.0,2863.5,6090.5
2021-11-10,4396.0,3365.5,3125.0,4396.0,3427.0,3427.0,2589.0,3082.5,3307.0,2402.5,2859.5,5936.0
2020-08-03,3706.5,3612.5,2986.0,4383.5,3011.0,2086.5,2197.5,2706.0,2568.0,2179.0,2826.0,5575.0
2022-07-17,2512.0,3399.5,2936.0,2981.0,1551.0,1163.5,2015.0,1754.5,641.0,1426.0,1520.0,3764.0
2019-03-27,5023.0,4793.5,3490.0,5657.0,3599.0,2262.5,2676.0,3508.5,2959.0,2574.5,3203.5,6569.0
2021-05-16,2184.5,2584.0,1762.0,2264.0,1749.0,1046.0,1575.0,1386.0,1839.0,1323.0,1466.0,3204.5
2020-01-25,3704.0,3960.5,3457.0,5071.0,2536.0,1858.0,2105.5,2430.0,2519.0,2348.5,1869.5,5280.0
2019-06-13,4874.0,4823.5,3368.0,5836.5,3849.0,2452.0,2572.0,3387.0,2946.0,2500.5,3075.5,6355.0
2023-01-02,2297.0,2681.0,2526.0,2855.5,1468.0,1270.0,2153.0,1800.5,1871.0,1418.5,1551.0,3148.0
2023-06-10,2905.0,3112.0,2791.0,3260.0,2144.0,1441.0,2300.0,1986.0,2355.0,1762.0,1757.0,4608.0
2020-04-16,1126.5,1094.0,887.0,1608.0,1035.0,609.0,812.5,924.0,791.5,791.5,1075.0,1660.0
2021-09-15,3739.5,3410.0,3062.0,4204.0,3403.0,2248.5,2474.0,2967.5,3152.0,2528.5,2707.0,5987.0
2022-08-10,3509.0,4370.0,3533.0,4029.5,2768.0,1965.0,3075.0,2525.0,2797.0,2611.0,2878.0,5526.0
2023-02-22,3987.0,3215.5,2991.0,4100.0,3249.0,2256.0,3363.0,2985.0,2859.0,2297.0,3127.0,5799.0
2020-10-22,4132.0,3231.0,2869.5,4062.0,3408.0,2031.0,2489.0,2996.0,3058.0,2471.0,2773.5,5739.0
2020-02-03,4290.5,4054.5,3469.0,8498.0,3269.0,2145.5,2365.5,2751.0,2671.0,2309.5,2499.0,5713.0
2023-10-01,2477.0,2484.0,2311.0,2559.5,1426.0,1165.5,2091.0,1627.0,1910.5,1280.0,1437.5,3062.0
2023-02-03,4126.0,3638.5,3327.0,4405.0,2926.0,2286.0,3575.0,3070.0,3183.0,2377.0,2937.0,6229.0
2020-09-05,2323.5,2703.5,2190.0,3051.0,2443.0,1518.0,1596.0,1835.0,2211.0,1658.5,1661.0,3768.0
2019-12-21,3940.0,4350.5,3909.0,5522.5,2894.0,2183.5,2289.0,2625.0,2545.0,2472.0,2031.5,5665.0
2023-05-28,2683.0,2921.0,2621.0,2922.5,1752.0,1284.5,2293.0,1764.0,2009.0,0.0,1589.0,4087.0
2020-05-21,2675.5,2734.0,1882.0,2936.0,2220.0,1439.0,1729.0,1939.0,1861.0,1435.5,2143.0,3891.0
2023-05-15,4083.0,3218.0,2940.0,3818.5,2906.0,1938.0,2676.0,2782.5,2844.5,2101.0,3097.0,5883.0
2019-02-06,4861.0,4791.0,3105.0,5105.0,4051.0,2356.5,2601.5,3431.0,2972.0,2568.0,3102.0,6445.0
2023-05-11,4031.0,3496.5,3109.0,4245.5,2750.0,2105.5,3274.0,2897.0,2070.0,2500.0,3260.0,6125.0
2021-07-28,3446.0,3700.5,2949.0,4276.0,2748.0,2034.5,2341.0,2739.0,3103.0,2348.5,2741.5,5458.0
2022-06-17,3517.0,3763.5,3464.0,4260.0,3228.0,2122.0,3572.0,2797.0,3143.0,2314.0,2954.5,5908.0
2023-04-09,2439.0,2721.0,2291.0,2763.0,1410.0,1063.0,1977.0,1539.0,1593.0,1047.0,1506.5,3203.0
2023-06-19,3983.0,3374.0,3334.0,3980.0,3189.0,2141.0,3161.0,2900.0,2915.5,2242.0,2995.0,6018.0
2019-01-18,4631.0,5227.5,3628.0,5560.5,3904.0,2515.5,2618.0,3600.5,3171.0,2790.0,3192.0,6714.0
2019-07-09,4335.0,5143.5,3206.0,5861.5,3532.0,2300.0,2374.5,3154.5,2782.0,2373.5,3199.0,5980.0
2023-03-16,4170.0,3455.5,2945.0,4043.0,3103.0,1997.5,3307.0,2952.5,2826.5,2123.0,2957.5,5941.0
2021-12-10,3800.5,3655.5,3722.0,4512.0,3887.0,2456.5,2764.0,3190.0,3311.0,2831.0,3089.5,6488.0
2022-09-04,2546.0,2889.0,2456.0,2846.0,1423.0,1170.5,2004.0,1403.0,1639.0,1447.5,1483.0,3610.0
2023-12-31,1727.0,2133.0,2230.0,2607.0,2042.0,1434.5,2112.0,1725.5,1879.5,1556.0,1447.5,3608.5
2023-10-30,3009.0,3330.0,3187.0,3662.5,2995.0,2038.0,3311.0,3004.0,3196.5,2475.0,3131.5,6043.5
2023-06-11,2439.0,2650.5,2615.0,2739.5,1694.0,1075.0,1823.0,1544.0,1952.5,1187.0,1140.5,3632.0
2020-08-15,2851.0,2945.0,2418.0,3052.0,1856.0,1293.5,1427.5,1638.5,1871.0,1430.0,1420.0,3424.0
2023-07-17,3371.0,2845.5,3329.0,3661.0,2669.0,1794.5,3000.0,2676.0,2978.5,2052.5,2857.5,5465.0
2019-07-31,4478.0,5192.5,3407.0,6010.5,3235.0,2425.5,2527.5,3044.0,2776.0,2322.5,3286.0,6064.0
2023-03-18,2576.0,2887.0,2603.0,3091.5,2001.0,1570.0,2523.0,2328.0,2196.5,1807.0,1939.5,4225.0
2022-11-20,2073.0,2171.0,2032.0,2540.5,1297.0,1130.0,1897.0,1418.0,1550.0,1120.5,1146.5,3075.0
2022-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-19,3861.0,3256.5,2972.0,3907.5,2861.0,2052.0,3130.0,2572.5,2803.0,2314.5,3179.5,5656.0
2019-05-28,4829.0,4685.0,3434.0,5728.5,3772.0,2386.5,2543.0,3344.5,2994.0,2528.0,3076.5,6633.0
2023-03-05,2777.0,2541.5,2186.0,2686.0,1531.0,1128.5,2022.0,1665.5,1659.0,1128.0,1571.0,3270.0
2021-09-06,3381.5,3440.5,2829.0,4143.0,2795.0,2051.0,2387.0,2759.0,3325.0,2014.0,2658.5,5517.0
2022-01-26,3909.0,3129.5,2805.0,3793.0,3239.0,2087.5,2483.0,2877.5,3301.0,2475.5,2630.0,5678.5
2021-09-16,3844.0,3462.5,3066.0,4369.0,3088.0,2170.5,2611.0,2969.5,3133.0,2431.0,2853.0,5924.0
2023-12-19,3188.0,3560.0,3521.0,3989.0,2980.0,2230.0,2964.0,3036.0,3011.5,2665.0,3191.5,5857.0
2022-09-18,2226.0,2428.5,2053.0,2565.5,1538.0,1180.0,1969.0,1441.0,1548.0,1156.5,1311.0,3419.0
2022-03-25,3543.5,3401.0,3680.5,4322.0,3207.0,2136.0,3329.0,3023.5,3195.0,2455.5,2796.0,5902.0
2019-01-04,3944.0,5305.0,3875.0,5884.5,3469.0,2573.0,2724.5,3534.5,3190.0,2859.0,3185.0,6404.0
2022-07-28,849.0,875.5,774.0,1092.5,676.0,499.0,760.5,636.0,818.0,643.5,806.5,1413.0
2020-10-29,4009.0,3308.0,2824.0,3783.0,3332.0,1684.0,2394.0,2816.0,2846.0,2355.5,2723.0,5569.0
2020-01-29,4234.5,4443.5,3928.0,6626.5,3531.0,2261.5,2449.5,3060.5,2829.0,2612.5,2912.5,5997.0
2019-03-14,4853.0,4689.5,3541.0,5583.0,3883.0,2334.0,2610.5,3480.5,2978.0,2694.5,3295.0,6541.0
2022-07-25,3447.0,3806.0,3246.0,4353.5,2720.0,1926.0,3018.5,2522.5,2838.0,2475.5,2860.5,5430.0
2019-06-25,4659.0,4722.5,3304.0,5651.5,3665.0,2328.5,2549.0,3169.0,2900.0,2435.5,3167.5,6128.0
2023-10-13,3006.0,3558.5,3649.0,3862.0,3414.0,2329.5,3203.0,2823.0,3159.5,2406.0,2644.0,5270.0
2023-09-06,3596.0,2657.0,3352.0,3767.0,2386.0,1791.5,2950.0,2755.0,2282.0,1910.0,2750.5,5641.5
2020-05-14,1966.5,2237.5,1667.0,2758.0,1897.0,1286.5,1496.0,1741.5,1615.0,1339.0,1823.0,3374.0
2022-02-24,2924.0,3242.5,3021.0,4347.0,3488.0,2201.5,2629.0,3180.5,3223.0,2440.5,2865.5,5913.0
2019-02-27,4755.0,4776.0,3171.0,5467.0,3457.0,2237.0,2644.0,3348.5,3002.0,2517.5,3082.0,6336.0
2021-03-31,3653.0,3510.0,2921.0,4075.0,3020.0,1981.0,2520.5,2787.5,3074.0,2376.0,2886.0,5515.0
2019-07-10,4572.0,5129.0,3386.0,6000.5,3425.0,2193.5,2408.0,3222.5,2858.0,2321.5,3272.5,6147.0
2021-09-14,3757.0,3492.5,3013.0,4255.0,3105.0,2222.5,2490.0,2914.5,3246.0,2514.5,2808.0,5932.5
2019-12-01,3070.0,3063.0,3085.0,4125.5,2294.0,1386.0,1574.5,1799.0,1858.0,1616.5,1435.5,3704.0
2021-07-08,3541.0,3573.5,3025.0,4385.0,2824.0,1962.0,2368.0,3235.5,3620.0,2429.5,2745.0,5774.0
2019-05-04,4102.0,4302.5,3277.0,4500.0,2748.0,1837.0,2055.5,2488.0,2530.0,2315.0,1979.0,4996.0
2022-06-24,3812.0,3082.5,3729.0,4503.5,3051.0,2171.5,3299.5,2959.0,2884.0,2501.0,3216.0,6343.0
2020-11-07,1934.0,2081.0,1229.0,1849.0,1878.0,859.5,1498.0,1478.5,1668.0,1446.5,1418.5,2941.0
2021-02-07,1562.0,1689.0,1143.0,1417.0,1480.0,715.0,1121.5,1006.5,1256.0,971.0,914.0,2053.0
2023-06-05,4073.0,3418.5,3137.0,3946.0,3247.0,2020.0,3353.0,2817.5,2995.0,2366.0,2684.0,6040.0
2019-11-09,3370.0,3962.0,3457.0,6742.5,3089.0,1993.5,2211.0,2358.5,2488.0,2295.0,2013.0,5408.0
2020-06-24,3202.0,3502.5,2751.0,4244.0,2962.0,2112.5,2164.5,2706.5,2494.0,2094.0,2720.5,5419.0
2020-10-11,2352.5,2467.0,1863.0,2400.0,1731.0,1051.0,1305.5,1235.5,1582.0,874.0,1225.5,2981.0
2022-05-05,4334.5,3446.0,3349.0,4145.5,3228.0,2079.5,3296.0,3091.5,3052.0,2311.0,2916.5,5922.5
2023-12-10,1923.0,2246.5,2271.0,2579.5,1274.0,1083.5,1761.0,1541.5,1572.5,1198.0,1388.5,2978.5
2019-06-17,4660.0,4492.5,3327.0,5478.5,3882.0,2329.5,2501.5,3263.0,2841.0,2542.5,3150.5,6101.0
2022-02-27,2536.0,2640.0,2134.0,2764.0,1716.0,1125.0,1621.0,1508.0,1995.0,1294.5,1422.5,3249.0
2021-03-06,2247.5,2737.0,2063.0,2856.0,2268.0,1367.5,1865.0,1854.0,2105.0,1777.0,1550.5,3506.0
2019-12-30,4218.0,4794.0,3953.0,9062.0,3453.0,2608.0,2645.5,3107.5,3096.0,2771.0,2972.5,6453.0
2021-05-19,3989.5,3641.0,2815.0,3951.0,3591.0,2052.5,2808.0,3023.5,3045.0,2413.0,3008.5,5966.5
2019-03-16,3548.0,4276.0,3000.0,4501.5,2574.0,1893.0,1961.5,2461.0,2424.0,2080.5,1998.0,5043.0
2023-06-18,3127.0,2695.0,2680.0,2813.5,2007.0,1163.5,1935.0,1584.5,1771.0,1021.0,1464.0,4067.0
2021-02-28,2201.0,2577.0,1478.0,1909.0,1746.0,929.0,1340.0,1305.5,1749.0,1211.0,1104.5,2802.0
2023-08-18,3533.0,3545.0,3942.0,4140.0,2664.0,1983.5,2610.0,2609.0,2934.5,2191.0,2666.0,5793.0
2023-05-14,2168.0,2432.5,2243.0,2567.5,1373.0,1111.5,1732.0,1484.5,1815.5,1312.5,1462.0,3432.0
2021-03-16,3824.5,3488.0,2895.0,3897.0,3044.0,1947.5,2678.0,2744.5,2866.0,2225.5,2930.5,5812.0
2019-08-30,4363.0,5086.5,3406.0,5802.0,3216.0,2294.0,2409.5,2991.5,3051.0,2533.5,2837.0,6124.0
2023-09-12,3267.0,2611.0,3502.0,3328.5,2733.0,1954.0,3156.0,2905.5,2866.5,1839.0,2835.0,5738.0
2019-04-18,2919.0,3453.5,2529.0,3877.0,2042.0,1478.5,1653.5,1975.0,1938.0,1726.5,1572.5,3925.0
2020-07-20,3517.5,3603.5,2924.0,4171.5,3428.0,2119.0,2127.0,2791.5,2745.0,2280.5,2818.5,5305.0
2022-07-14,3667.0,3921.5,3154.0,3927.5,2715.0,1928.0,3052.0,2738.0,3032.0,2622.5,3240.5,5606.0
2021-06-05,2852.5,2617.0,1929.0,2384.0,1669.0,1360.0,1826.0,1468.0,2018.0,1582.0,1759.0,4014.0
2021-08-24,3717.5,3709.0,2950.0,4024.0,2743.0,1973.5,2386.0,2606.5,3100.0,2333.0,2586.5,5536.5
2022-01-17,3953.0,3056.0,2817.0,3647.0,3154.0,1972.0,2468.0,2787.5,3116.0,2347.0,2684.0,5538.0
2020-12-21,3953.0,3890.0,2763.0,4456.0,3892.0,1947.0,2660.5,3185.0,3199.4509146198475,2255.5,3094.5,6465.0
2021-03-21,2307.0,2468.0,1546.0,2025.0,1651.0,903.5,1389.0,1268.5,1728.0,1176.0,1240.5,2838.0
2020-01-12,2846.0,3129.0,2794.0,3342.0,2245.0,1286.5,1564.5,1684.0,1900.0,1628.5,1454.5,3647.0
2021-04-08,4184.5,3442.0,3117.0,4222.0,3523.0,2036.0,2592.0,2871.0,2927.0,2391.5,2962.5,5350.0
2023-10-16,3351.0,2734.5,3141.0,3625.5,3019.0,2015.0,3180.0,2952.5,2954.0,2325.0,2934.0,5421.5
2021-01-12,3862.5,3172.0,2455.0,4050.0,3679.0,1894.5,2529.5,2794.5,3098.0,2403.5,2814.0,5616.0
2023-02-09,4212.0,3249.0,2955.0,4193.5,2773.0,2103.0,3378.0,2897.0,2753.0,2230.0,2953.0,5848.0
2020-12-13,1786.0,2233.0,1241.0,1938.0,1478.0,788.5,1278.5,1168.0,1552.1708792265058,1060.0,1157.5,2556.0
2022-04-13,3556.5,3369.0,3124.5,4330.0,2909.0,2080.0,3188.0,2914.5,3328.0,2655.0,2629.0,5582.5
2021-12-28,3183.0,3447.5,3039.0,4139.0,3050.0,2037.5,2440.0,2745.5,2819.0,2569.0,2579.0,5459.5
2022-07-19,3336.0,3703.5,2986.0,4151.5,2707.0,1872.5,2942.0,2477.5,2728.0,2029.0,2995.0,5390.0
2019-02-03,2989.0,3308.5,2201.0,3383.5,2136.0,1342.0,1565.5,1761.5,1727.0,1631.5,1348.5,3821.0
2023-01-29,2126.0,2305.5,2148.0,2552.5,1361.0,1111.5,1877.0,1482.5,1641.0,1138.5,1495.5,3340.0
2019-10-22,4847.0,4545.5,3445.0,12239.5,4056.0,2434.0,2601.0,3269.0,2933.0,2563.5,2982.0,6497.0
2019-10-24,4862.0,4630.0,3500.0,11689.5,4016.0,2553.0,2727.5,3350.0,3035.0,2670.5,3217.0,6514.0
2019-07-13,3217.0,4231.0,3494.0,4942.0,2223.0,1709.0,1823.5,2281.5,2280.0,1999.5,1833.0,4298.0
2021-10-19,4146.5,3281.5,3135.0,4110.0,3477.0,2135.5,2560.0,3007.5,3212.0,2447.5,2774.5,5941.5
2021-04-06,3761.0,3252.0,3071.0,4190.0,3427.0,2107.0,2585.5,3035.0,3024.0,2439.0,2795.0,5121.0
2022-09-30,4140.0,3551.0,3318.0,4406.0,3225.0,2300.0,3499.0,2762.5,2913.0,2311.5,3179.5,5956.0
2021-05-07,4192.5,3920.0,3045.0,4281.0,3316.0,2265.5,2834.0,3238.5,3351.0,2641.5,3079.0,6522.0
2020-07-17,3757.5,4020.5,3109.0,4394.5,3448.0,2198.0,2276.0,2965.5,2671.0,2257.0,3055.0,5539.0
2020-11-22,1766.0,1739.0,967.0,1300.0,1373.0,623.0,1082.5,935.5,1416.0,970.0,929.0,2157.0
2020-09-23,3791.0,3433.0,2832.0,4266.5,3269.0,2128.5,2334.0,2958.5,2614.0,2308.0,2727.5,5854.0
2023-10-14,2666.0,2350.0,3012.0,3164.5,2118.0,1555.0,2332.0,1887.5,2260.5,1786.0,1711.0,3953.0
2020-07-15,3445.5,3617.5,2916.0,4548.0,3430.0,2188.0,2172.5,2896.5,2629.0,2213.5,2940.0,5542.0
2022-07-16,2646.0,3528.0,3246.0,3949.5,1748.0,1454.5,2271.5,2092.0,1953.0,1860.0,1838.5,4439.0
2019-06-11,4871.0,4939.0,3472.0,5942.0,3848.0,2665.0,2701.0,3334.5,3104.0,2558.0,3080.0,6415.0
2022-05-23,3854.0,3223.0,3268.0,3835.5,3229.0,2083.5,3152.0,3019.0,3125.0,2632.0,2859.0,5674.0
2021-05-20,4033.0,3702.0,2989.0,4029.0,3599.0,2083.5,2928.0,3048.0,3090.0,2466.5,2995.5,5767.0
2020-04-17,1281.5,1171.5,1011.0,1877.5,1114.0,657.0,937.5,980.5,861.0,861.0,1139.0,1898.0
2023-06-12,4047.0,3338.5,3156.0,3978.0,3336.0,2010.0,3197.0,2869.0,2920.5,2305.0,2931.0,6045.0
2019-01-31,4746.0,4900.5,3437.0,5348.0,3971.0,2392.5,2666.5,3501.0,3010.0,2624.5,3164.0,6404.0
2022-03-15,3495.5,3013.0,2897.0,3720.0,2907.0,1840.5,2820.0,2768.5,3140.0,2223.0,2507.5,5540.0
2020-06-09,3112.0,3095.5,2352.0,3788.5,2597.0,1903.5,2036.5,2419.5,2342.0,1965.0,2591.5,4950.0
2023-07-22,2832.0,2897.0,2778.0,3068.0,1949.0,1407.5,2131.0,1896.5,2418.5,1544.0,1708.5,4376.0
2020-11-02,1643.0,1763.0,1311.0,1716.0,1647.0,808.0,1349.5,1288.0,1366.0,1350.0,1134.5,2505.0
2022-07-23,2927.0,3466.5,3210.0,3634.0,1999.0,1516.5,2253.5,1775.5,2180.0,1598.5,1772.5,4422.0
2023-08-06,2947.0,2481.0,2742.0,2819.0,1411.0,1070.0,1939.0,1529.0,1854.0,1164.5,1496.5,3565.0
2023-09-27,3826.0,2758.0,3276.0,0.0,2815.0,1985.0,3196.0,0.0,0.0,0.0,2958.5,5553.0
2020-11-26,3592.0,3128.0,2206.0,3404.0,2990.0,1536.5,2429.5,2711.0,2535.0,2188.5,2544.5,5242.0
2019-05-16,4733.0,4785.0,3447.0,5925.5,3637.0,2454.5,2604.0,3505.0,2680.0,2574.5,3084.0,6500.0
2019-07-19,4707.0,5455.5,3437.0,6176.5,3594.0,2221.5,2406.0,3254.5,2951.0,2409.5,3062.5,6263.0
2023-04-01,2666.0,3057.0,2776.0,3194.0,2055.0,1418.5,2497.0,2340.5,2135.5,1777.5,1702.5,4371.0
2022-07-20,3424.0,3713.0,3005.0,4251.0,2745.0,1971.5,2992.5,2566.0,2752.0,2318.5,2590.0,5380.0
2021-07-27,3527.5,3646.0,2880.0,4379.0,2896.0,2043.0,2339.0,2850.0,3216.0,2392.0,2708.0,5630.0
2019-07-11,4589.0,5183.0,3305.0,5988.0,3378.0,2192.0,2483.5,3300.5,2807.0,2339.0,3242.5,6134.0
2021-10-23,3157.0,2970.0,2583.0,3369.0,2339.0,1514.0,2121.0,2114.5,2570.0,1898.0,1928.0,4220.0
2021-11-12,2644.0,2263.0,1910.0,2516.0,2090.0,2090.0,1662.0,1791.0,2022.0,1551.5,1596.0,3637.0
2022-04-15,2398.5,2641.0,2261.5,2620.0,1388.0,1070.5,1472.0,1445.0,1829.0,1251.0,1194.0,3151.0
2020-05-30,2441.0,2777.5,1761.0,2663.5,2002.0,1279.0,1557.5,1826.5,1886.0,1515.5,1517.5,3467.0
2022-05-08,3149.5,2747.0,2374.0,2706.0,1662.0,1161.5,1914.5,1492.5,1967.0,1211.0,1395.0,3487.5
2021-08-09,3687.0,3998.0,2925.0,4137.0,2830.0,1946.0,2360.0,2778.0,3343.0,2392.0,2559.5,5598.0
2019-05-21,5005.0,4672.5,3183.0,5820.5,3448.0,2345.0,2571.0,3388.5,3080.0,2575.5,3049.5,6241.0
2023-12-26,2721.0,3452.5,3486.0,3923.0,2598.0,1982.0,2891.0,2715.0,2662.5,2345.0,2724.0,5274.5
2019-11-02,3657.0,3959.5,3532.0,7143.5,2555.0,1851.0,1949.5,2219.5,2326.0,2086.5,1751.0,4564.0
2019-06-09,2836.0,3352.5,2593.0,3323.5,2089.0,1311.5,1521.0,1647.5,1870.0,1571.0,1429.5,3770.0
2019-03-10,3662.0,3695.5,2349.0,3358.5,2265.0,1373.0,1545.5,1861.5,1784.0,1615.0,1441.0,3838.0
2022-09-06,3537.0,3513.0,3140.0,3928.0,2573.0,2014.5,2992.0,2116.5,2750.0,2146.0,2831.0,5389.0
2021-02-23,3763.5,3508.0,2846.0,3502.0,3467.0,1820.5,2517.5,2723.0,2839.0,2209.0,2542.0,5571.0
