date,SO2_OesteAvdaArgentina,SO2_EsteAvdaCastilla,NO2_OesteAvdaArgentina,NO_EsteAvdaCastilla,NO2_OesteAvdaArgentina,NO2_EsteAvdaCastilla,CO_OesteAvdaArgentina,CO_EsteAvdaCastilla,PM10_OesteAvdaArgentina,PM10_EsteAvdaCastilla,O3_OesteAvdaArgentina,O3_EsteAvdaCastilla,SO2_GijonGlobal,NO_GijonGlobal,NO2_GijonGlobal,CO_GijonGlobal,PM10_GijonGlobal,O3_GijonGlobal
2022-02-26,20.0,2.0,64.0,13.0,64.0,54.0,1.3,0.83,105.0,143.0,66.0,71.0,20.0,68.0,79.0,1.3,143.0,85.0
2020-06-20,3.0,7.0,24.0,8.0,24.0,14.0,1.16,0.43,36.0,28.0,82.0,94.0,7.0,9.0,24.0,1.16,39.0,112.0
2019-08-29,3.0,2.0,44.0,22.0,44.0,42.0,0.47,0.52,56.0,33.0,94.0,82.0,7.0,42.0,57.0,0.54,86.0,94.0
2019-02-18,8.0,9.0,60.0,7.0,60.0,46.0,0.39,0.6,43.0,43.0,78.0,75.0,12.0,42.0,85.0,1.2,77.0,84.0
2020-04-11,2.0,3.0,9.0,2.0,9.0,5.0,1.0,0.26,17.0,14.0,56.0,62.0,3.0,5.0,16.0,1.0,17.0,77.0
2022-07-30,3.0,5.0,20.0,6.0,20.0,8.0,0.11,0.13,59.0,17.0,69.0,66.0,5.0,32.0,50.0,0.34,59.0,74.0
2022-02-25,5.0,3.0,17.0,2.0,17.0,6.0,0.11,0.24,63.0,37.0,68.0,78.0,5.0,7.0,27.0,0.37,63.0,93.0
2021-02-12,7.0,4.0,63.0,26.0,63.0,59.0,0.76,1.03,69.0,71.0,56.0,78.0,23.0,44.0,64.0,1.11,71.0,78.0
2022-05-08,5.0,4.0,32.0,4.0,32.0,18.0,0.33,0.28,44.0,26.0,66.0,87.0,5.0,13.0,32.0,0.46,44.0,110.0
2023-08-16,1.0,5.0,12.0,7.0,12.0,15.0,0.19,0.28,17.0,18.0,80.0,68.0,5.0,12.0,15.0,0.52,29.0,80.0
2020-08-03,2.0,1.0,23.0,8.0,23.0,24.0,0.43,0.38,47.0,25.0,65.0,63.0,2.0,23.0,27.0,0.44,47.0,76.0
2022-02-09,33.0,5.0,72.0,130.0,72.0,57.0,5.0,0.77,144.0,521.0,41.0,45.0,33.0,161.0,90.0,5.0,521.0,66.0
2019-06-15,9.0,14.0,33.0,11.0,33.0,29.0,3.47,0.8,45.0,23.0,75.0,81.0,14.0,17.0,33.0,3.47,45.0,90.0
2020-06-25,3.0,1.0,31.0,4.0,31.0,43.0,1.05,0.41,72.0,57.0,63.0,83.0,8.0,13.0,48.0,1.05,72.0,93.0
2023-10-04,2.0,5.0,30.0,19.0,30.0,24.0,0.22,0.27,64.0,28.0,68.0,81.0,5.0,19.0,37.0,0.79,64.0,81.0
2021-01-31,50.0,12.0,33.0,5.0,33.0,18.0,1.66,0.77,73.0,37.0,60.0,81.0,50.0,15.0,33.0,1.66,73.0,87.0
2022-04-14,2.0,3.0,31.0,3.0,31.0,18.0,0.26,0.36,119.0,17.0,56.0,83.0,5.0,30.0,36.0,0.45,119.0,97.0
2022-09-27,5.0,2.0,21.0,7.0,21.0,35.0,0.72,0.76,67.0,55.0,80.0,62.0,11.0,10.0,39.0,0.76,67.0,80.0
2021-10-21,7.0,6.0,58.0,9.0,58.0,51.0,0.45,0.6,66.0,44.0,65.0,68.0,16.0,14.0,58.0,1.21,71.0,70.0
2022-05-03,10.0,5.0,46.0,22.0,46.0,51.0,0.44,0.5,59.0,38.0,64.0,94.0,10.0,32.0,51.0,0.64,59.0,117.0
2022-02-11,4.0,3.0,21.0,3.0,21.0,17.0,0.12,0.4,51.0,33.0,70.0,79.0,4.0,6.0,29.0,0.55,51.0,98.0
2020-12-17,18.0,8.0,57.0,110.0,57.0,44.0,5.94,0.72,107.0,45.0,25.0,33.0,18.0,206.0,78.0,5.94,107.0,41.0
2023-01-11,10.0,6.0,56.0,43.0,56.0,55.0,2.71,0.64,119.0,53.0,79.0,71.0,12.0,50.0,72.0,2.71,119.0,81.0
2019-12-02,2.0,3.0,33.0,4.0,33.0,19.0,0.95,0.35,28.0,24.0,63.0,64.0,3.0,23.0,44.0,0.95,38.0,77.0
2022-04-26,10.0,3.0,52.0,20.0,52.0,36.0,0.43,0.56,101.0,40.0,55.0,82.0,10.0,75.0,62.0,1.03,101.0,102.0
2022-11-20,5.0,4.0,50.0,9.0,50.0,25.0,1.18,0.29,46.0,54.0,76.0,48.0,18.0,22.0,57.0,1.3,54.0,79.0
2022-09-24,5.0,3.0,18.0,6.0,18.0,21.0,0.78,0.52,47.0,27.0,69.0,62.0,9.0,6.0,30.0,0.8,60.0,69.0
2019-01-13,10.0,9.0,45.0,25.0,45.0,51.0,0.44,0.78,36.0,38.0,69.0,51.0,10.0,49.0,73.0,1.15,61.0,77.0
2023-02-21,10.0,15.0,44.0,38.0,44.0,32.0,1.01,0.87,151.0,75.0,51.0,50.0,15.0,72.0,44.0,1.15,151.0,63.0
2022-02-20,14.0,6.0,21.0,10.0,21.0,42.0,0.43,0.54,58.0,100.0,63.0,65.0,16.0,10.0,42.0,0.87,100.0,87.0
2021-07-22,4.0,2.0,25.0,8.0,25.0,26.0,0.14,0.7,43.0,29.0,77.0,85.0,4.0,15.0,39.0,0.7,43.0,95.0
2022-11-18,13.0,2.0,41.0,12.0,41.0,34.0,1.06,0.51,41.0,23.0,68.0,46.0,13.0,13.0,55.0,1.06,41.0,71.0
2021-10-06,6.0,3.0,38.0,77.0,38.0,41.0,0.77,0.55,80.0,32.0,65.0,72.0,12.0,119.0,55.0,0.77,80.0,81.0
2021-07-26,5.0,8.0,33.0,8.0,33.0,29.0,0.14,0.7,79.0,21.0,80.0,88.0,11.0,40.0,39.0,0.7,79.0,89.0
2023-02-20,7.0,13.0,36.0,16.0,36.0,41.0,1.32,0.72,99.0,75.0,81.0,64.0,13.0,27.0,61.0,1.32,99.0,81.0
2023-01-22,17.0,4.0,49.0,33.0,49.0,43.0,5.63,0.57,40.0,48.0,67.0,64.0,17.0,55.0,62.0,5.63,76.0,69.0
2023-05-26,10.0,5.0,64.0,4.0,64.0,23.0,0.64,0.31,60.0,69.0,105.0,111.0,10.0,30.0,64.0,1.01,69.0,125.0
2019-10-20,5.0,1.0,23.0,6.0,23.0,32.0,0.33,0.48,19.0,24.0,64.0,66.0,5.0,10.0,33.0,0.48,24.0,68.0
2019-03-11,5.0,7.0,17.0,21.0,17.0,44.0,0.69,0.45,62.0,29.0,81.0,84.0,7.0,51.0,66.0,0.69,62.0,96.0
2022-08-04,2.0,1.0,15.0,9.0,15.0,12.0,0.1,0.22,31.0,27.0,65.0,59.0,3.0,9.0,20.0,0.3,31.0,66.0
2020-02-26,34.0,8.0,41.0,36.0,41.0,52.0,1.37,0.6,53.0,51.0,60.0,68.0,34.0,36.0,83.0,1.37,53.0,92.0
2020-10-12,11.0,10.0,19.0,10.0,19.0,27.0,1.64,0.8,40.0,21.0,55.0,58.0,11.0,10.0,27.0,1.64,40.0,68.0
2020-05-07,5.0,2.0,34.0,10.0,34.0,30.0,0.4,0.59,58.0,42.0,80.0,90.0,6.0,22.0,36.0,0.65,58.0,106.0
2023-06-11,3.0,5.0,16.0,4.0,16.0,7.0,0.1,0.31,19.0,29.0,83.0,83.0,8.0,7.0,16.0,0.58,31.0,83.0
2021-09-02,6.0,3.0,44.0,28.0,44.0,43.0,0.73,0.71,117.0,76.0,66.0,77.0,10.0,40.0,52.0,0.73,117.0,77.0
2022-03-07,23.0,2.0,47.0,69.0,47.0,48.0,1.08,0.54,52.0,33.0,54.0,77.0,23.0,69.0,61.0,1.08,54.0,92.0
2021-10-28,24.0,7.0,60.0,101.0,60.0,55.0,11.13,0.63,82.0,60.0,48.0,64.0,24.0,101.0,82.0,11.13,82.0,80.0
2020-05-11,3.0,4.0,30.0,14.0,30.0,32.0,2.51,0.54,37.0,65.0,83.0,84.0,15.0,27.0,35.0,2.51,65.0,108.0
2021-11-18,17.0,6.0,47.0,89.0,47.0,47.0,0.34,0.7,86.0,30.0,50.0,68.0,17.0,89.0,50.0,0.7,86.0,73.0
2020-11-15,22.0,6.0,28.0,22.0,28.0,24.0,0.81,0.71,92.0,34.0,63.0,63.0,22.0,34.0,32.0,1.31,92.0,72.0
2021-01-03,3.0,8.0,33.0,13.0,33.0,38.0,0.49,0.48,26.857142857142858,22.0,61.0,57.0,8.0,13.0,42.0,0.49,26.0,70.0
2021-10-05,11.0,3.0,23.0,11.0,23.0,35.0,1.51,0.36,76.0,48.0,59.0,68.0,25.0,18.0,35.0,1.51,76.0,77.0
2022-12-11,7.0,7.0,99.0,26.0,99.0,41.0,4.5,0.63,58.0,41.0,14.0,45.0,7.0,74.0,99.0,4.5,60.0,46.0
2022-11-07,22.0,3.0,59.0,100.0,59.0,46.0,9.12,0.89,105.0,171.0,69.0,61.0,22.0,124.0,70.0,9.12,171.0,70.0
2019-08-20,3.0,1.0,31.0,18.0,31.0,33.0,1.06,0.33,43.0,20.0,60.0,55.0,4.0,30.0,37.0,1.06,43.0,69.0
2021-03-10,29.0,6.0,68.0,76.0,68.0,57.0,5.51,0.85,132.0,52.0,41.0,61.0,29.0,116.0,79.0,5.51,132.0,61.0
2022-09-21,17.0,7.0,43.0,56.0,43.0,45.0,0.84,0.53,110.0,33.0,88.0,83.0,17.0,100.0,65.0,0.84,110.0,88.0
2023-12-26,34.0,109.0,54.0,68.0,54.0,47.0,0.58,0.74,89.0,88.0,27.0,35.0,109.0,161.0,83.0,1.3,126.0,54.0
2021-08-13,3.0,3.0,26.0,8.0,26.0,16.0,0.11,0.72,40.0,29.0,28.0,62.0,4.0,54.0,34.0,0.72,45.0,70.0
2021-08-15,4.0,4.0,13.0,7.0,13.0,17.0,0.1,0.81,46.0,20.0,54.5,60.0,4.0,8.0,19.0,0.81,46.0,65.0
2023-12-04,16.0,5.0,43.0,6.0,43.0,36.0,0.618,0.47,48.0,25.0,55.0,73.0,16.0,15.0,49.0,0.83,74.0,112.0
2023-10-19,13.0,5.0,56.0,47.0,56.0,41.0,1.6,0.54,167.0,21.0,74.0,76.0,13.0,110.0,63.0,1.6,167.0,78.0
2021-07-30,3.0,6.0,34.0,18.0,34.0,33.0,0.17,0.69,69.0,40.0,50.0,50.0,18.0,27.0,46.0,0.69,69.0,58.0
2021-02-04,15.0,4.0,50.0,55.0,50.0,40.0,0.33,0.62,89.0,54.0,48.0,68.0,15.0,166.0,58.0,0.62,89.0,68.0
2021-10-16,4.0,6.0,44.0,18.0,44.0,48.0,0.48,0.98,66.0,36.0,54.0,51.0,6.0,23.0,54.0,0.98,66.0,61.0
2022-12-06,25.0,5.0,53.0,48.0,53.0,44.0,7.84,0.73,71.0,44.0,43.0,30.0,25.0,158.0,68.0,7.84,90.0,43.0
2022-11-28,15.0,3.6666666666666665,48.0,37.66666666666666,48.0,45.0,0.66,0.38,60.0,59.66666666666666,69.0,38.0,15.0,13.0,48.0,0.66,60.0,73.0
2019-12-18,16.0,5.0,66.0,154.0,66.0,74.0,0.9,0.97,42.0,53.0,61.0,46.0,16.0,238.0,80.0,0.97,53.0,84.0
2020-10-16,25.0,7.0,45.0,33.0,45.0,47.0,3.35,0.19,35.0,21.0,71.0,72.0,25.0,56.0,58.0,3.35,36.0,83.0
2023-05-18,9.0,7.0,44.0,14.0,44.0,44.0,2.63,0.37,49.0,43.0,95.0,103.0,9.0,23.0,44.0,2.63,49.0,117.0
2020-04-08,2.0,1.0,16.0,4.0,16.0,9.0,1.03,0.44,36.0,29.0,61.0,69.0,2.0,17.0,20.0,1.03,47.0,84.0
2023-01-07,26.0,5.0,36.0,9.0,36.0,41.0,2.0,0.89,161.0,29.0,70.0,66.0,26.0,12.0,49.0,2.0,161.0,78.0
2019-11-25,8.0,7.0,71.0,144.0,71.0,49.0,1.55,0.95,62.0,40.0,51.0,37.0,15.0,215.0,78.0,1.55,66.0,65.0
2022-03-04,6.0,4.0,61.0,27.0,61.0,60.0,1.17,0.5,81.0,79.0,65.0,87.0,6.0,38.0,77.0,1.17,81.0,103.0
2022-11-17,46.0,2.0,36.0,6.0,36.0,37.0,1.12,0.31,61.0,72.0,74.0,53.0,46.0,24.0,62.0,1.22,72.0,76.0
2019-02-09,12.0,11.0,60.0,45.0,60.0,53.0,2.55,0.75,66.0,211.0,73.0,59.0,12.0,89.0,85.0,2.55,221.0,79.0
2022-10-18,6.0,5.0,74.0,66.0,74.0,68.0,1.33,0.69,107.0,50.0,79.0,67.0,6.0,126.0,82.0,1.33,107.0,79.0
2020-11-21,11.0,7.0,35.0,28.0,35.0,34.0,0.91,0.26,45.0,42.0,64.0,63.0,11.0,64.0,44.0,0.91,83.0,71.0
2023-10-08,25.0,5.0,37.0,15.0,37.0,41.0,0.8633333333333334,0.6,101.0,37.0,46.0,90.0,6.0,22.0,64.0,1.82,90.0,93.0
2021-07-14,6.0,7.0,19.0,9.0,19.0,27.0,0.24,0.64,71.0,41.0,52.0,53.0,8.0,19.0,33.0,0.64,71.0,56.0
2020-05-28,2.0,5.0,34.0,14.0,34.0,30.0,0.59,0.75,45.0,55.0,87.0,98.0,5.0,47.0,41.0,0.75,55.0,113.0
2023-08-01,8.0,7.0,13.0,10.0,13.0,24.0,0.86,0.61,43.0,37.0,61.0,61.0,11.0,11.0,37.0,0.89,43.0,63.0
2019-11-15,4.0,4.0,52.0,23.0,52.0,54.0,0.47,0.64,28.0,56.0,62.0,64.0,6.0,51.0,67.0,0.65,56.0,80.0
2021-07-12,11.0,5.0,32.0,9.0,32.0,28.0,1.13,0.86,59.0,48.0,40.0,37.0,19.0,15.0,32.0,1.13,59.0,40.0
2020-03-27,2.0,1.0,50.0,11.0,50.0,38.0,1.03,0.33,62.0,45.0,88.0,97.0,5.0,61.0,72.0,1.03,62.0,122.0
2023-10-18,15.0,7.0,30.0,6.0,30.0,25.0,0.42,0.37,97.0,26.0,78.0,86.0,15.0,17.0,46.0,1.6,97.0,86.0
2020-08-14,5.0,1.0,33.0,8.0,33.0,28.0,0.38,0.87,75.0,24.0,72.0,74.0,5.0,38.0,37.0,0.87,75.0,84.0
